piece_id,description,member,rough_dim,final_dim,material,qty,grain_dir,operation,offcut_yield,notes
INLAY-Am-feature,Am feature inlay plug,Am,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Am/feature*.dxf,Hard maple,1,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.080 in.
INLAY-F#m-band1,F#m band1 inlay plug,F#m,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/F#m/band1*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-F#m-band2,F#m band2 inlay plug,F#m,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/F#m/band2*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-F#m-band3,F#m band3 inlay plug,F#m,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/F#m/band3*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-F#m-feature,F#m feature inlay plug,F#m,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/F#m/feature*.dxf,Hard maple,1,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.080 in.
INLAY-Em-band1,Em band1 inlay plug,Em,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Em/band1*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Em-band2,Em band2 inlay plug,Em,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Em/band2*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Em-band3,Em band3 inlay plug,Em,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Em/band3*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Em-feature,Em feature inlay plug,Em,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Em/feature*.dxf,Hard maple,1,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.080 in.
INLAY-Dm-band1,Dm band1 inlay plug,Dm,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Dm/band1*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Dm-band2,Dm band2 inlay plug,Dm,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Dm/band2*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Dm-band3,Dm band3 inlay plug,Dm,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Dm/band3*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Dm-feature,Dm feature inlay plug,Dm,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Dm/feature*.dxf,Hard maple,1,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.080 in.
